GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBti0062536	0.222223145792538	-0.0110017748971034	0.0569664628363894	-0.193127225200924	0.846859331384148	NA	chr3R	4690691	4691118	+	transposable_element	NA
FBgn0086665	7.07917094184696	-0.202440956194535	0.200396508810161	-1.01020201098569	0.312398516009211	NA	chr3R	30207744	30207883	-	snoRNA	snoRNA:Psi18S-1377a
FBgn0039678	1.63429124370833	-0.0169441264619223	0.120518042846274	-0.140594105760042	0.888190604907105	NA	chr3R	29671656	29672334	+	protein_coding	Obp99a
FBgn0038468	1.89810585545952	0.0229013051411314	0.125401755551957	0.182623481149295	0.855093458888924	NA	chr3R	17028692	17030701	+	protein_coding	CG5225
FBti0019373	5.21734876687424	0.0497867431014391	0.186274589474914	0.267276085491758	0.789256598210879	NA	chr3R	14180866	14185556	+	transposable_element	NA
FBgn0039816	0.292969955542051	0.00541112245673336	0.0575789945830408	0.0939773696279014	0.925127133583691	NA	chr3R	31090711	31097321	-	protein_coding	CG11317
FBgn0250839	1.6793598533934	0.0552622520495143	0.12976845635425	0.425852734956298	0.670215157528116	NA	chr3R	4956998	4961351	-	protein_coding	CG2016
FBgn0286885	0.146484977771025	0.00333265223762729	0.0572090489926364	0.0582539352831445	0.953546359483498	NA	chr3R	13313339	13313974	+	pseudogene	CR46407
FBgn0286867	0	NA	NA	NA	NA	NA	chr3R	8935715	8938395	+	ncRNA	lncRNA:osk
FBgn0037517	1.05264354963973	0.0970044084907871	0.10449485167284	0.928317586348613	0.353242854238322	NA	chr3R	7790632	7793483	+	protein_coding	CG10086
FBgn0013973	1.57498792104283	0.0172539781887601	0.121588859360074	0.141904268857923	0.887155622382159	NA	chr3R	31134391	31178278	+	protein_coding	Gycbeta100B
FBgn0000274	0.224756680655294	0.0316096021062371	0.057423258975382	0.550466878234628	0.581999188655896	NA	chr3R	30695536	30697138	-	protein_coding	Pka-C2
FBti0020365	0	NA	NA	NA	NA	NA	chr3R	12487908	12488251	-	transposable_element	NA
FBgn0085321	1.18521933262058	-0.0313400601821433	0.101144580156458	-0.309854073581246	0.756671929006123	NA	chr3R	27062215	27063059	+	protein_coding	CG34292
FBti0063752	0	NA	NA	NA	NA	NA	chr3R	5778191	5778344	-	transposable_element	NA
FBgn0051473	2.72839068984834	0.00242431845856695	0.148231650806801	0.016354931253695	0.986951234584453	NA	chr3R	7811813	7813009	+	protein_coding	CG31473
FBti0059723	0	NA	NA	NA	NA	NA	chr3R	12478161	12479420	-	transposable_element	NA
FBgn0286926	0	NA	NA	NA	NA	NA	chr3R	21737496	21737679	-	pseudogene	CR46423
FBgn0051588	0	NA	NA	NA	NA	NA	chr3R	13797952	13798025	+	tRNA	tRNA:Phe-GAA-1-6
FBti0019339	3.36107789966827	-0.070507357200274	0.1653983932689	-0.426288041901624	0.669897970353243	NA	chr3R	8601821	8610916	-	transposable_element	NA
FBgn0038626	1.08122102333626	-0.0128405087300604	0.0993169620685451	-0.129288174573829	0.897129628223041	NA	chr3R	18559868	18561353	+	protein_coding	CG7691
FBgn0085310	0.444446291585076	-0.0216658167463297	0.057319276834809	-0.377984823653121	0.705441868070523	NA	chr3R	17612886	17613404	+	protein_coding	CG34281
FBgn0039343	2.55111844995103	0.112806323249675	0.144666648440617	0.77976730964345	0.435527851484982	NA	chr3R	25506274	25508279	+	protein_coding	CG5111
FBgn0085331	0	NA	NA	NA	NA	NA	chr3R	9822998	9823823	-	protein_coding	CG34302
FBgn0263626	0.883063314399316	0.0234915340988497	0.0913048430101139	0.25728683522568	0.796957354434084	NA	chr3R	5045206	5045948	-	ncRNA	lncRNA:CR43635
FBgn0265164	0	NA	NA	NA	NA	NA	chr3R	12767177	12767468	-	ncRNA	lncRNA:CR44233
FBti0059720	1.3443576864092	-0.0819709352255025	0.106048434361478	-0.772957523786685	0.439547519247091	NA	chr3R	12469666	12470922	-	transposable_element	NA
FBgn0038355	0.146484977771025	0.00333265223762729	0.0572090489926364	0.0582539352831445	0.953546359483498	NA	chr3R	15744653	15746411	+	protein_coding	CG4520
FBgn0051267	1.16526213698651	-0.047131771835359	0.108143310284267	-0.4358269754409	0.662962270508897	NA	chr3R	17134196	17135283	+	protein_coding	CG31267
FBgn0266753	6.1455901279063	-0.198639454136716	0.184796895716881	-1.07490687744584	0.282416422554508	NA	chr3R	26519579	26522279	+	ncRNA	lncRNA:CR45226
FBgn0045443	1.02778354218053	0.0234847897801879	0.0924610391971722	0.25399660207265	0.799498183193528	NA	chr3R	10401031	10402966	+	protein_coding	mthl11
FBgn0262972	1.61215402995103	-0.00111581739338229	0.108659954675046	-0.0102688924978775	0.991806753216174	NA	chr3R	11247630	11256123	-	ncRNA	lncRNA:cherub
FBgn0261841	0	NA	NA	NA	NA	NA	chr3R	21365608	21368279	+	protein_coding	pre-mod(mdg4)-AD
FBgn0267133	0.581346879744493	0.0394261684450021	0.0740815508358596	0.532199555761967	0.594587790618087	NA	chr3R	31519877	31523278	-	ncRNA	lncRNA:CR45573
FBgn0010403	0.593464804218857	0.0188899587318898	0.074386506603323	0.253943350675457	0.799539323252407	NA	chr3R	5976176	5976817	-	protein_coding	Obp83b
FBgn0267815	1.225504867335	0.0158874352100772	0.103108350526374	0.154084854708382	0.877542829856452	NA	chr3R	4309943	4310869	+	ncRNA	asRNA:CR46140
FBgn0011281	0.359943008421703	0.0202380184537133	0.062067094549544	0.326066792727968	0.744373820745029	NA	chr3R	5972154	5975245	-	protein_coding	Obp83a
FBgn0266137	1.26349103550485	-0.00271938450194242	0.104176158474479	-0.0261037126129835	0.979174615836014	NA	chr3R	29630303	29659984	-	protein_coding	Dop1R2
FBgn0039380	1.72784931617236	-0.0306174058651592	0.120273755470037	-0.254564312434617	0.799059625785709	NA	chr3R	25856153	25872670	+	protein_coding	CG5890
FBgn0043005	1.48082453681434	0.00698089969120922	0.11275050567599	0.0619145754545012	0.950630860233367	NA	chr3R	23696371	23699027	-	protein_coding	prt
FBti0060913	0	NA	NA	NA	NA	NA	chr3R	11235225	11235270	+	transposable_element	NA
FBgn0002941	1.32788534697011	-0.032505764084892	0.109580558476483	-0.296638058217854	0.766742851694744	NA	chr3R	21548660	21557182	-	protein_coding	slou
FBgn0039331	2.64560336779391	-0.0871636630972953	0.129099795741024	-0.675164996172005	0.499570943042373	NA	chr3R	25358284	25360034	+	protein_coding	ND-49L
FBgn0038531	0.143132168438522	-0.0181871816467342	0.0571925665763102	-0.317999046650016	0.750485660068158	NA	chr3R	17627126	17629012	+	protein_coding	CG14325
FBgn0039043	7.80250704417492	-0.198663400709229	0.211529656889512	-0.939175166407024	0.347640816971138	NA	chr3R	23044663	23048214	-	protein_coding	CG17121
FBgn0263565	0	NA	NA	NA	NA	NA	chr3R	7451451	7451543	+	pre_miRNA	mir-4950
FBgn0003861	0.557262806859809	0.0426511389305951	0.0724842807346102	0.588419150998485	0.556250986380511	NA	chr3R	29914520	29920289	-	protein_coding	trp
FBgn0265316	0.296322764874554	0.0212115021648231	0.0575835532451078	0.368360425320318	0.712604502058916	NA	chr3R	27535830	27537903	-	ncRNA	lncRNA:CR44289
FBgn0267867	0	NA	NA	NA	NA	NA	chr3R	12508259	12508533	+	pseudogene	CR46155
FBgn0038078	0.149837787103529	0.0244994449775616	0.0572188573433555	0.428170818416502	0.668526760313674	NA	chr3R	12694228	12694842	-	protein_coding	CG14391
FBti0061789	2.18934291457947	-0.0458998057899807	0.134640731993105	-0.340905795077907	0.733174502032798	NA	chr3R	4215889	4215925	+	transposable_element	NA
FBgn0082957	1.86877715105463	-0.0135897701026787	0.132560232895854	-0.102517699356755	0.918345764809899	NA	chr3R	28602555	28602695	+	snoRNA	snoRNA:Psi28S-3405d
FBgn0267958	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	12744671	12745388	-	ncRNA	lncRNA:CR46238
FBti0061864	0.265533073324862	-0.00768559337116673	0.0574858754210816	-0.133695334982204	0.893643494191056	NA	chr3R	4413999	4414410	-	transposable_element	NA
FBgn0040279	0.374594467758823	0.0406354487066751	0.0577573327430743	0.7035548003478	0.481710068122347	NA	chr3R	6299127	6300738	+	protein_coding	Osi14
FBti0060896	0	NA	NA	NA	NA	NA	chr3R	10920304	10920579	+	transposable_element	NA
FBgn0264839	3.37317003841199	-0.0676914886709895	0.153087972748308	-0.4421737871092	0.658363452976131	NA	chr3R	20827094	20828212	+	ncRNA	asRNA:CR44047
FBgn0082983	8.43998443285755	-0.369063529864318	0.211135992854945	-1.74798964815948	0.0804658199522891	NA	chr3R	30207897	30208039	-	snoRNA	snoRNA:Psi28S-2626
FBgn0262995	0	NA	NA	NA	NA	NA	chr3R	8201479	8201994	+	ncRNA	lncRNA:CR43303
FBgn0051248	1.03612770978504	-0.00374749260111908	0.0874997087128824	-0.0428286294462525	0.965838141924601	NA	chr3R	7129319	7130908	+	protein_coding	CG31248
FBgn0265200	0.22140387132279	0.0136299699046294	0.0574180887234482	0.237381114691531	0.812361139371649	NA	chr3R	7720048	7721124	+	ncRNA	lncRNA:CR44260
FBti0062082	1.77908246377183	-0.0375222374872309	0.124821100373966	-0.30060812935324	0.763713331710612	NA	chr3R	32064331	32064740	-	transposable_element	NA
FBti0063927	0	NA	NA	NA	NA	NA	chr3R	6706020	6706058	-	transposable_element	NA
FBgn0027376	6.35075513460295	0.0533644397267584	0.0851736310663872	0.626537099083686	0.530962711076894	NA	chr3R	25340251	25344838	+	protein_coding	rha
FBgn0004782	0.143132168438522	-0.0181871816467342	0.0571925665763102	-0.317999046650016	0.750485660068158	NA	chr3R	6701967	6702877	-	protein_coding	Ccp84Ab
FBgn0004172	0	NA	NA	NA	NA	NA	chr3R	7365849	7366262	+	protein_coding	Mst84Da
FBgn0267778	3.31202663684843	-0.00302624406132908	0.161007102481916	-0.0187957177955487	0.985004069924804	NA	chr3R	29745208	29746083	-	ncRNA	asRNA:CR46109
FBti0060976	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	11807582	11807783	-	transposable_element	NA
FBgn0038334	0.218051061990286	-0.00450000025011726	0.0574091434791072	-0.0783847306789193	0.937522019310524	NA	chr3R	15381406	15382951	-	protein_coding	h-cup
FBgn0264844	0	NA	NA	NA	NA	NA	chr3R	23706360	23707146	-	ncRNA	asRNA:CR44052
FBgn0265380	5.55009763058175	-0.127851771302488	0.194372621311758	-0.657766358449342	0.510688274671065	NA	chr3R	26260901	26261515	+	ncRNA	asRNA:CR44321
FBti0019355	0.0749188935517645	0.0141668483980328	0.0569664628363894	0.248687520563119	0.803602502784138	NA	chr3R	10958084	10963254	+	transposable_element	NA
FBti0063871	0.0749188935517645	0.0141668483980328	0.0569664628363894	0.248687520563119	0.803602502784138	NA	chr3R	6388459	6388535	-	transposable_element	NA
FBgn0283501	0.292969955542051	0.00541112245673336	0.0575789945830408	0.0939773696279014	0.925127133583691	NA	chr3R	30697379	30704118	+	ncRNA	lncRNA:CR46115
FBgn0038979	0.0749188935517645	0.0141668483980328	0.0569664628363894	0.248687520563119	0.803602502784138	NA	chr3R	22492952	22493746	+	protein_coding	tHMG2
FBgn0082976	0.98139878243006	0.0161657106539585	0.0973559280329157	0.16604752253497	0.868119551667558	NA	chr3R	28601697	28601847	+	snoRNA	snoRNA:Psi28S-3305a
FBgn0263403	1.92442156701835	0.111172751152006	0.111967501382593	0.992901956185745	0.320757736392934	NA	chr3R	11088419	11089356	+	protein_coding	CG43449
FBgn0004054	0	NA	NA	NA	NA	NA	chr3R	6743134	6744136	-	protein_coding	zen2
FBgn0266249	0.149837787103529	0.0244994449775616	0.0572188573433555	0.428170818416502	0.668526760313674	NA	chr3R	15038337	15039812	+	ncRNA	lncRNA:CR44944
FBgn0265424	0	NA	NA	NA	NA	NA	chr3R	7326480	7327181	-	ncRNA	lncRNA:TS14
FBgn0038821	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	20737324	20739100	-	protein_coding	CG17267
FBgn0037486	1.33587639419386	-0.048360144609931	0.11174254276925	-0.432781852027437	0.665173258791313	NA	chr3R	7217678	7219705	-	protein_coding	CG14605
FBgn0267763	4.24454331485894	-0.122790249639779	0.164905549568331	-0.744609565664733	0.456507783507971	NA	chr3R	24573769	24574304	+	ncRNA	lncRNA:CR46094
FBgn0015570	3.16645449623785	0.0817556424967862	0.159605255244135	0.512236532385676	0.608485478114084	NA	chr3R	7541809	7545230	+	protein_coding	alpha-Est2
FBtr0472713_df_nrg	0	NA	NA	NA	NA	NA	chr3R	15417587	15417609	-	miRNA	NA
FBgn0038541	1.59470384885372	-0.0980605875055908	0.119997710474419	-0.817187153970704	0.413821482548736	NA	chr3R	17736610	17747470	+	protein_coding	TyrRII
FBgn0038934	4.59958475384038	0.120235935280976	0.179451901689382	0.670017615578659	0.502846560778619	NA	chr3R	22211823	22217415	+	protein_coding	Gld2
FBgn0000477	1.70948732958254	-0.0242073011529534	0.133218090352933	-0.181711816231724	0.855808892347927	NA	chr3R	18019374	18021161	+	protein_coding	DNaseII
FBti0019308	0	NA	NA	NA	NA	NA	chr3R	5809166	5809352	-	transposable_element	NA
FBti0019453	0	NA	NA	NA	NA	NA	chr3R	29319884	29320132	+	transposable_element	NA
FBgn0038236	0.939177300840797	0.00342067757475107	0.0881535601875114	0.038803623670728	0.969046955740655	NA	chr3R	14521048	14523064	+	protein_coding	Cyp313a1
FBti0063793	0	NA	NA	NA	NA	NA	chr3R	20117793	20117851	+	transposable_element	NA
FBti0020383	0	NA	NA	NA	NA	NA	chr3R	21609898	21610044	-	transposable_element	NA
FBgn0261046	1.29092791772204	0.0111826586781506	0.103252186987592	0.108304327534432	0.913754289934898	NA	chr3R	17473934	17505667	-	protein_coding	Dscam3
FBgn0038629	7.4962150357145	0.383762612689429	0.211504193400556	1.81444446334282	0.0696093256099558	NA	chr3R	18592800	18621327	-	protein_coding	CG14304
FBgn0040607	0	NA	NA	NA	NA	NA	chr3R	26726132	26726681	+	protein_coding	CG14244
FBgn0039805	0.265533073324862	-0.00768559337116673	0.0574858754210816	-0.133695334982204	0.893643494191056	NA	chr3R	30867520	30869184	+	protein_coding	Cpr100A
FBgn0267130	0.359943008421703	0.0202380184537133	0.062067094549544	0.326066792727968	0.744373820745029	NA	chr3R	30404428	30404989	+	ncRNA	lncRNA:CR45570
FBgn0265266	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	24859899	24860366	-	protein_coding	CG13639
FBgn0038795	0.222223145792538	-0.0110017748971034	0.0569664628363894	-0.193127225200924	0.846859331384148	NA	chr3R	20406614	20407871	-	protein_coding	CG4335
FBti0019399	0.772515147089903	-0.0234373727274356	0.0824185237032371	-0.284370207986571	0.776126687540121	NA	chr3R	18917444	18917825	+	transposable_element	NA
FBgn0065070	0.483584135315149	-0.0142049367796809	0.0699563876502349	-0.203054177850094	0.839092686345762	NA	chr3R	28812567	28812641	+	snoRNA	snoRNA:291
FBgn0039582	0.878909866626152	0.0144710657201642	0.0804448116490318	0.179888117375415	0.857240403987597	NA	chr3R	28352241	28353620	+	protein_coding	Or98b
FBgn0261860	0.0749188935517645	0.0141668483980328	0.0569664628363894	0.248687520563119	0.803602502784138	NA	chr3R	26783608	26784208	-	protein_coding	CG42789
FBgn0039075	8.3214696207309	-0.221670027391471	0.211269100757863	-1.04923070433063	0.294071950276227	NA	chr3R	23375927	23384777	-	protein_coding	CG4393
FBgn0287605	0.947123141512909	-0.00646861912972034	0.0826603400180909	-0.0782554140027083	0.937624883120522	NA	chr3R	25140293	25156085	+	ncRNA	lncRNA:CR46474
FBgn0265039	0.511840292002085	-0.0295998101203203	0.0702070518823789	-0.421607364597935	0.673311629888973	NA	chr3R	4660526	4660939	-	ncRNA	lncRNA:CR44156
FBti0020390	0.247504100789087	0.00556952021312275	0.0572502273453388	0.0972838095389016	0.922501013125623	NA	chr3R	27856814	27858239	-	transposable_element	NA
FBgn0265421	0	NA	NA	NA	NA	NA	chr3R	7285229	7285595	-	ncRNA	lncRNA:CR44333
FBti0062243	0.247504100789087	0.00556952021312275	0.0572502273453388	0.0972838095389016	0.922501013125623	NA	chr3R	16004314	16004413	-	transposable_element	NA
FBgn0260487	1.83796275563878	0.0268427774736703	0.132355394404035	0.202808337314372	0.839284841125984	NA	chr3R	27340621	27372574	+	protein_coding	CG42534
FBti0063146	0	NA	NA	NA	NA	NA	chr3R	4785504	4785620	-	transposable_element	NA
FBti0063222	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	5225877	5225928	-	transposable_element	NA
FBgn0004188	0	NA	NA	NA	NA	NA	chr3R	24556087	24556194	+	snRNA	snRNA:U6:96Aa
FBgn0037962	0.782295597973058	0.0186926272772276	0.0886812522434141	0.210784430805281	0.833055488021494	NA	chr3R	11892305	11893297	-	protein_coding	Dnali1
RR48334_transposable_element	2.11767627848832	0.0998918295883434	0.135625847024112	0.736525019236078	0.461411247298393	NA	chr3R	2143134	2150545	+	transposable_element	NA
FBgn0038158	0.366924737544667	0.00932726410583923	0.0574885168728264	0.162245690325819	0.871112380739506	NA	chr3R	13587996	13588725	+	protein_coding	CG14370
FBgn0265043	0	NA	NA	NA	NA	NA	chr3R	17391501	17392173	-	ncRNA	asRNA:CR44160
FBgn0051404	0.815126149970515	-0.0210914538649517	0.0937986303064798	-0.22485886836553	0.822089068171553	NA	chr3R	19375042	19376023	-	protein_coding	CG31404
FBgn0267143	0	NA	NA	NA	NA	NA	chr3R	12329319	12330223	+	ncRNA	lncRNA:CR45583
FBgn0039309	0	NA	NA	NA	NA	NA	chr3R	25270208	25273267	+	protein_coding	CG11891
FBti0019305	1.30228494162036	0.111352847278561	0.11186224589652	0.995446197116134	0.31951929958793	NA	chr3R	5446015	5452418	+	transposable_element	NA
FBti0059844	0	NA	NA	NA	NA	NA	chr3R	7451651	7451974	-	transposable_element	NA
FBgn0040569	0	NA	NA	NA	NA	NA	chr3R	18372927	18373329	+	ncRNA	lncRNA:CR14310
FBti0148146	0	NA	NA	NA	NA	NA	chr3R	1237700	1238674	+	transposable_element	NA
FBti0063124	0	NA	NA	NA	NA	NA	chr3R	4905298	4905387	-	transposable_element	NA
FBgn0037870	1.33679638105587	0.0259934037851694	0.105710490137413	0.245892377865059	0.80576554430404	NA	chr3R	11196091	11197285	+	protein_coding	CG18577
FBgn0267694	0	NA	NA	NA	NA	NA	chr3R	16526930	16527416	-	ncRNA	lncRNA:CR46030
FBgn0037764	0.224756680655294	0.0316096021062371	0.057423258975382	0.550466878234628	0.581999188655896	NA	chr3R	9817427	9818395	-	protein_coding	CG9459
FBgn0037736	6.13375909062327	0.3943863794616	0.200843378166861	1.96365139374395	0.0495705329873765	NA	chr3R	9734011	9739979	-	protein_coding	side-VII
FBti0062444	0.265533073324862	-0.00768559337116673	0.0574858754210816	-0.133695334982204	0.893643494191056	NA	chr3R	4555708	4556140	-	transposable_element	NA
FBti0062756	0	NA	NA	NA	NA	NA	chr3R	4607735	4608118	+	transposable_element	NA
FBgn0038191	2.46811980220828	-0.0129634075776404	0.146735923589197	-0.0883451527107492	0.929602352552289	NA	chr3R	13960711	13964174	-	protein_coding	CG9925
FBgn0051416	0.0749188935517645	0.0141668483980328	0.0569664628363894	0.248687520563119	0.803602502784138	NA	chr3R	24915059	24915131	-	tRNA	tRNA:Asp-GTC-3-1
FBti0019331	0.0749188935517645	0.0141668483980328	0.0569664628363894	0.248687520563119	0.803602502784138	NA	chr3R	8042713	8043787	-	transposable_element	NA
FBgn0067407	0	NA	NA	NA	NA	NA	chr3R	27845088	27845414	+	pseudogene	Or98P
FBgn0004644	5.49055702466895	-0.197369811541375	0.196071021959111	-1.00662407718023	0.314115459564103	NA	chr3R	23128168	23141906	-	protein_coding	hh
FBgn0264792	0.660858804635866	0.0181701898449163	0.0716480108127201	0.253603549335252	0.799801854290191	NA	chr3R	29458778	29459278	-	ncRNA	lncRNA:CR44022
FBti0062793	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	17645880	17646017	-	transposable_element	NA
FBgn0051041	4.49859276098852	-0.136801012401406	0.184586197831751	-0.741122651684387	0.458619076371403	NA	chr3R	29590069	29590906	-	protein_coding	CG31041
FBgn0051482	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	6601241	6602201	+	protein_coding	CG31482
FBgn0039091	0.490289753980156	0.0217786221692835	0.0701163869178077	0.310606737264044	0.756099604776706	NA	chr3R	23587119	23589819	-	protein_coding	CG10182
FBti0063091	0	NA	NA	NA	NA	NA	chr3R	4717577	4717615	+	transposable_element	NA
FBgn0051036	5.27841882719991	0.0396282233857092	0.188284619611925	0.210469784878804	0.833301031668052	NA	chr3R	29908106	29912892	+	protein_coding	CG31036
FBgn0038242	0.658558040335827	-0.00748698195119046	0.0875413635849523	-0.0855250780269707	0.931843959126818	NA	chr3R	14565926	14566513	+	protein_coding	CG14852
FBgn0262004	0	NA	NA	NA	NA	NA	chr3R	17413900	17414607	+	protein_coding	CG42822
FBgn0046887	0.803026861525239	-0.00721755852133079	0.0833018393839235	-0.0866434471880788	0.930954929872048	NA	chr3R	27542496	27543888	+	protein_coding	Gr98b
FBti0059875	0.506427986192729	0.0267118903290778	0.0704887672120526	0.378952440020974	0.704723181703173	NA	chr3R	22733081	22733350	+	transposable_element	NA
FBgn0267782	0.441843631096431	0.0166779843162364	0.0612254324358854	0.272402883127064	0.785312256080959	NA	chr3R	30272761	30273555	-	ncRNA	lncRNA:CR46113
FBti0063883	0.475638294643037	-0.00992951509676353	0.0687902364760462	-0.144344831555	0.885228178499269	NA	chr3R	20547511	20547573	-	transposable_element	NA
FBgn0039628	1.12828528691745	-0.0167647108741799	0.110859897833397	-0.15122430384497	0.879798779066115	NA	chr3R	29051055	29052267	+	protein_coding	CG11841
FBgn0037322	0	NA	NA	NA	NA	NA	chr3R	5397642	5399196	-	protein_coding	Or83a
FBti0019449	0.864884221738978	0.0764154873119129	0.0875374858504914	0.872945876494852	0.382692579079558	NA	chr3R	28302179	28302534	-	transposable_element	NA
FBgn0267149	0.297142039344303	0.00109553963928501	0.0572602634707303	0.0191326335731064	0.984735298363714	NA	chr3R	13478264	13478780	+	ncRNA	lncRNA:CR45589
FBgn0027109	0.0749188935517645	0.0141668483980328	0.0569664628363894	0.248687520563119	0.803602502784138	NA	chr3R	16609219	16611325	+	protein_coding	NPF
FBti0020358	0	NA	NA	NA	NA	NA	chr3R	12482772	12483194	-	transposable_element	NA
FBtr0304237_df_nrg	0	NA	NA	NA	NA	NA	chr3R	31753523	31753544	-	miRNA	NA
FBgn0085431	5.11973311399601	-0.245749903165636	0.192143367024203	-1.2789923845494	0.20089973764858	NA	chr3R	12386248	12402902	+	protein_coding	CG34402
FBgn0052855	2.56723710082225	-0.118926167596787	0.140454438608197	-0.84672416746142	0.397148884822811	NA	chr3R	16078979	16080992	-	protein_coding	CG32855
FBgn0261455	0.0749188935517645	0.0141668483980328	0.0569664628363894	0.248687520563119	0.803602502784138	NA	chr3R	22036342	22036443	+	snoRNA	scaRNA:MeU5-G38
FBti0059757	0	NA	NA	NA	NA	NA	chr3R	12473629	12474881	-	transposable_element	NA
FBgn0037254	6.31696669990289	0.0228675804624337	0.19734893219858	0.115873849468937	0.907752521164305	NA	chr3R	4480811	4484215	+	protein_coding	CG14651
FBgn0003319	4.8312218771514	0.0888820625719127	0.185388234206208	0.479437451640263	0.63162745550348	NA	chr3R	16116160	16145284	+	protein_coding	Sb
FBgn0051220	1.5104097142514	0.101851549996803	0.103944822850726	0.979861692035122	0.327154394718899	NA	chr3R	19648486	19650586	+	protein_coding	CG31220
FBgn0264991	0.146484977771025	0.00333265223762729	0.0572090489926364	0.0582539352831445	0.953546359483498	NA	chr3R	13312854	13313188	-	protein_coding	CG44142
FBgn0051358	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	12027735	12031757	-	protein_coding	CG31358
FBgn0267672	0.213458030650678	0.0141250127904937	0.0569664628363894	0.247953130442055	0.804170670995559	NA	chr3R	11335550	11336307	-	ncRNA	lncRNA:CR46008
FBti0059751	0	NA	NA	NA	NA	NA	chr3R	12490554	12497205	-	transposable_element	NA
FBgn0023495	6.31329864139786	0.0148173965785899	0.203368197262969	0.0728599494808423	0.941917564882521	NA	chr3R	13370239	13371904	-	protein_coding	Lip3
FBgn0267229	0.511021017532337	0.000122710819873179	0.0647520215848275	0.00189508862997309	0.998487938945851	NA	chr3R	28970540	28972750	+	ncRNA	lncRNA:CR45669
FBti0061783	0	NA	NA	NA	NA	NA	chr3R	4283276	4283317	-	transposable_element	NA
FBgn0261638	0.343804776209131	0.0161284357271471	0.0576863211662234	0.279588564517279	0.779793181542405	NA	chr3R	6767049	6779728	+	ncRNA	lncRNA:CR42721
FBgn0267144	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	12327346	12328003	+	ncRNA	lncRNA:CR45584
FBgn0085804	0	NA	NA	NA	NA	NA	chr3R	722369	722621	-	pseudogene	CR41571
FBti0019438	0.340451966876627	0.00161328180743699	0.0612240745418523	0.0263504482429401	0.978977816983416	NA	chr3R	26810607	26811035	-	transposable_element	NA
FBgn0038818	1.44360113587693	0.00616522682882324	0.120411244668564	0.0512014209785242	0.959165019554615	NA	chr3R	20652566	20659904	-	protein_coding	Nep4
FBti0062104	0.554186107985261	-0.0413854332299955	0.0784489094135012	-0.527546316952024	0.59781426116396	NA	chr3R	14706981	14707050	-	transposable_element	NA
FBgn0039087	0.146484977771025	0.00333265223762729	0.0572090489926364	0.0582539352831445	0.953546359483498	NA	chr3R	23536992	23538908	-	protein_coding	Ugt303B2
FBgn0039342	0.0715660842192608	-0.0109599392895644	0.0569664628363894	-0.192392835079859	0.847434504345902	NA	chr3R	25505190	25505931	+	protein_coding	CG5107
FBgn0039217	0	NA	NA	NA	NA	NA	chr3R	24712779	24717430	+	protein_coding	CG13627
FBti0061676	0	NA	NA	NA	NA	NA	chr3R	4185555	4186323	+	transposable_element	NA
FBgn0261845	0	NA	NA	NA	NA	NA	chr3R	21365608	21370249	+	protein_coding	pre-mod(mdg4)-U
FBgn0259732	0	NA	NA	NA	NA	NA	chr3R	13813108	13814648	+	protein_coding	tal-3A
FBgn0039596	0.293789230011799	-0.0196144286041203	0.0572434217000457	-0.342649478692931	0.731862174301458	NA	chr3R	28748383	28751661	-	protein_coding	CG10000
FBgn0039307	0.584699689076997	0.0592944320530027	0.0743422362453914	0.797587415278734	0.425109956440049	NA	chr3R	25268660	25269965	+	pseudogene	CR13656
FBgn0082989	0.146484977771025	0.00333265223762729	0.0572090489926364	0.0582539352831445	0.953546359483498	NA	chr3R	5598637	5598777	-	snoRNA	snoRNA:Psi28S-2442a
FBgn0038295	1.50438594837272	0.0388635362005422	0.115229576217847	0.337270494921104	0.73591299965416	NA	chr3R	15150374	15191242	+	protein_coding	Gyc88E
FBgn0029170	0.149837787103529	0.0244994449775616	0.0572188573433555	0.428170818416502	0.668526760313674	NA	chr3R	27049219	27051004	+	protein_coding	TwdlT
FBgn0260224	0	NA	NA	NA	NA	NA	chr3R	26057346	26058223	-	protein_coding	CG42498
FBgn0037922	2.32001113766788	0.143332386186551	0.148887265222669	0.962690704085333	0.335702763148191	NA	chr3R	11623338	11624948	+	protein_coding	CG14711
FBgn0039474	1.93001563580307	-0.121980916149752	0.128433731340716	-0.949757628906345	0.342235419937747	NA	chr3R	27020237	27021378	-	protein_coding	CG6283
